book, chapter, verse
2,20,2
2,20,3
5,6,4
5,6,5
5,10,20
3,22,32
3,22,32
5,12,4
5,18,15
5,6,16
5,28,9
5,10,20
3,19,18
5,10,19
3,19,17
3,19,17
3,19,17
2,22,21
3,19,16
3,19,18
3,19,18
5,6,7
3,19,32
3,19,4
4,15,39
2,22,27
2,20,5
2,20,5
2,20,4
3,19,4
2,20,20
2,23,13
5,13,17
5,13,17
5,13,18
5,13,12
5,13,9
5,13,9
5,13,9
5,13,9
5,13,9
5,18,20
5,13,4
5,18,20
5,18,22
2,23,13
3,19,31
3,19,31
3,18,21
5,16,22
3,26,1
5,16,21
5,12,2
5,7,26
5,7,25
5,7,2
5,7,2
2,23,33
3,20,23
3,19,26
5,18,10
3,19,26
5,18,11
5,18,11
5,18,11
5,18,11
5,18,10
3,19,27
3,19,27
5,22,5
5,22,5
3,19,28
5,14,1
5,14,1
4,5,7
5,6,7
2,23,25
4,6,23
5,6,8
5,6,8
5,6,9
5,31,19
5,17,18
4,15,38
5,8,10
3,12,3
2,23,12
2,20,10
2,35,3
2,16,29
2,20,8
3,23,32
3,23,31
3,16,29
3,23,29
3,23,8
3,23,8
3,23,8
3,23,8
3,23,21
3,23,21
3,23,24
3,23,25
3,23,35
3,23,35
3,23,36
3,23,36
5,16,3
2,12,15
2,13,3
2,12,20
2,13,7
2,12,19
2,12,18
2,13,8
4,29,1
3,23,42
3,23,40
2,30,13
2,12,2
4,10,9
5,24,1
5,23,18
2,21,10
1,1,28
5,24,1
5,24,4
5,25,5
5,25,9
5,25,5
2,22,15-16
5,22,29
5,22,29
5,22,19
5,22,19
4,5,30
4,5,15
4,5,15
3,18,7
3,18,8
3,18,9
3,18,11
3,18,10
3,18,10
3,18,10
3,18,17
3,18,17
3,18,17
3,18,12
3,18,13
3,18,14
3,18,15
3,18,16
3,18,18
3,18,23
3,18,23
3,18,22
3,18,7
3,18,14
3,18,20
3,18,19
5,7,3
5,23,4
5,23,8-9
5,23,8-9
5,23,3
5,23,2
3,22,24
3,21,14
3,21,14
3,21,13
3,21,7
3,21,7
3,21,7
3,18,6
3,11,2
5,14,11
3,11,9
3,11,21
3,11,4
3,11,13
3,11,11
5,14,19
3,11,41
3,11,44
3,11,42
3,11,43
5,14,21
2,21,28
2,22,30
5,12,23
3,3,17
3,3,17
1,32,33
2,23,19
2,34,26
3,23,14
3,23,14
3,23,14
3,19,23
5,22,9
3,22,15
5,32,38
5,12,21
3,22,28
3,17,13
5,22,6
5,22,7
3,19,12
2,20,7
3,19,11
3,19,11
5,10,20
5,23,24
4,30,3
4,30,3
4,6,5
4,6,5
4,6,3
4,6,3
4,6,3
4,6,4
4,6,4
4,6,6
4,6,7
4,6,18
3,27,2
3,27,12-13
3,27,14
3,27,16
3,27,28
3,27,28
3,27,28
3,19,19
5,22,9
3,19,19
5,22,10
5,22,11
3,19,10
3,19,9
3,19,9
3,19,9
3,19,10
3,19,10
3,19,10
3,19,10
5,24,19
5,24,19
5,14,28
5,15,11
5,15,7
5,18,4
4,18,26
2,22,28
3,22,10
3,22,10
2,12,48
3,22,4
3,22,12
4,18,24
5,14,22
5,26,14
5,26,14
5,26,14
5,12,17
5,12,17
5,12,17
3,19,24
5,26,13
2,23,19
5,12,17
5,26,5
4,15,20
5,18,3
5,18,4
4,18,15
2,13,13
2,13,13
2,34,21
3,25,4
3,25,4
3,25,5
3,25,5
2,23,11
5,15,3
5,15,2
5,15,9
3,25,8
3,25,10
3,25,9
3,25,11
3,25,11
3,25,11
3,25,24
3,25,23
3,25,29
5,18,2
5,18,1
4,35,2
3,25,34
2,25,8
2,20,22
2,20,23
3,19,30
4,18,3
4,18,5
2,30,31
2,30,32
2,30,32
2,30,37
2,30,9
4,7,9
2,25,15
4,18,23
4,18,3
3,21,8
5,18,6-8
2,28,2
2,28,32
2,28,28
3,10,9
3,10,6
3,10,6
3,16,2
3,10,7
4,5,2
4,5,3
5,23,11
3,22,2
3,21,6
2,30,19
3,21,23
3,21,17
3,21,18
4,18,4
3,22,21
3,22,20
3,22,22
3,22,24
3,22,22
5,17,1
3,22,25
3,22,21
5,12,15
3,22,27
5,23,19
3,2,11
3,2,13
3,2,13
3,1,3
5,12,17
3,6,18
3,6,23
3,5,8
3,7,1
2,29,33
5,12,17
2,29,33
3,7,11
5,12,17
3,2,1
3,5,11
3,5,11
3,6,16
3,6,10
3,6,9
5,12,5-6
5,23,22
5,12,11
5,12,26
3,17,4
5,12,13
4,28,3
3,6,5
3,6,5
3,6,3
2,30,7
2,27,21
3,6,13
4,28,9
2,25,30
4,28,11
4,28,19
3,23,10
3,23,15
4,28,26
3,23,18
4,29,2
4,29,8
4,29,13
4,29,35
5,14,3
3,7,18
3,22,30
3,19,8
3,7,19
3,7,20
3,7,17
3,7,19
3,16,3
3,5,16
5,15,19
5,15,19
2,12,6
2,23,18
2,23,18
4,9,11
2,12,8
4,9,11
2,12,9
2,12,46
2,12,43
2,12,45
2,12,48
2,12,46
4,9,12
2,12,10
4,9,12
5,16,4
5,16,16
2,23,14
5,16,14
5,16,16
5,12,19
5,31,12
2,13,12
5,12,17
4,18,17
3,27,32
3,27,33
3,4,27
3,5,17-18
3,5,25
3,5,7-11
3,4,13
3,15,28-29
3,12,6
3,15,13-14
3,14,10
3,27,10
3,27,10
3,27,26
4,19,14
4,19,9
4,19,21
3,13,12
5,24,8
3,13,33
3,13,45
3,14,2
3,14,9
3,13,47
3,14,35
3,15,19
3,12,2
3,15,25
3,15,3
3,11,39
3,11,29
3,15,16
3,11,34
3,15,16
2,21,28
2,22,4
2,21,33
2,22,5
3,19,11
2,21,37
3,19,36
3,19,35
5,25,13
5,19,14
2,20,13
3,19,13
3,19,13
2,20,14
5,5,18
3,5,23
5,22,3
5,22,1
2,21,18
2,20,13
4,35,31
4,35,25
4,35,32
4,35,12
5,25,12
4,35,12
3,19,16
5,19,3
5,21,4
5,21,4
5,22,8
5,22,8
3,19,14
2,23,5
5,22,4
5,22,4
3,25,14
3,25,14
3,25,17
2,22,20
2,22,20
2,21,2
3,25,42
3,25,43
3,25,53
3,25,39
5,15,14
5,15,13
2,21,8
2,21,8
2,21,8
3,25,46
5,23,16
5,23,17
2,22,9
5,24,15
3,19,13
5,23,25
5,23,26
5,23,25
5,25,4
2,22,13
2,22,6
2,22,24
2,22,24
5,15,3
5,24,10
5,24,13
5,24,12
5,24,17
5,24,6
3,25,37
5,23,20
2,22,24
5,23,21
2,22,8
4,27,8
5,16,18
5,1,17
2,23,2
2,23,2
2,23,2
5,22,24
3,20,14
2,21,20
3,20,10
5,21,22
5,21,23
5,21,23
2,22,17
5,25,2
5,25,3
2,23,7
5,22,26
5,19,13
3,19,15
3,19,15
2,23,6
3,19,15
5,24,17
3,19,15
5,1,17
2,23,8
2,23,1
2,22,27
2,22,27
3,19,14
3,5,1
5,13,15
4,35,30
5,19,15
2,23,1
5,24,16
2,20,13
5,19,19
5,17,11
5,17,11
5,13,1
5,13,1
2,21,17
2,21,15
2,20,12
3,19,3
5,21,20
3,10,19
3,21,11
3,21,11
3,21,1
5,17,15
5,17,15
5,17,17
5,17,16
5,17,17
5,20,17
5,20,16
5,25,19
5,25,17
5,25,19
5,17,16
5,20,10
5,23,7
5,20,19
5,23,13
5,23,14
5,20,2
5,24,5
5,24,5
5,20,3
5,21,11
5,21,14
5,21,14
